SampleNumber,GPStime,Type,Period,Network,DistMean,DistSTD,DistMax,LogBCI,LogBSN,ProbMin,ProbMax,ProbMedian,ProbStd,Vol0Min,Vol0Max,Vol0Median,Vol0Std,Vol1Min,Vol1Max,Vol1Median,Vol1Std,Vol2Min,Vol2Max,Vol2Median,Vol2Std
r02130,1241231946,BNS,GW170729,111000,106.048,26.61,172.574,9.861,93.873,5.907688530896814e-45,6.537417686051537e-05,3.898932209959957e-31,2.648070830637687e-06,7.156583896084947e-117,0.011,2.1803856569481774e-29,0.0005904484644839388,3.44131113595707e-71,0.01,1.6546418215878134e-29,0.0005281317385454592,1.4121973451442486e-32,0.0005817843790819006,3.4330293856232143e-07,0.00011288109094234276
r02131,1177973707,BNS,GW170729,111000,114.284,30.514,190.57,6.832,51.537,2.8849736368900023e-30,5.1743480934368247e-05,5.350549141356702e-17,2.1267808641658606e-06,8.71454894830754e-36,0.007,3.8883079714819335e-12,0.00043286698323732024,5.097329091377002e-50,0.007,4.881882964411556e-15,0.0004163547871881522,4.4109766772167105e-39,0.0009795143373356615,1.5144430655978247e-11,0.000170321986393697
r02132,1192726968,BNS,GW170729,111000,134.222,35.332,222.553,8.779,53.963,3.724515149267229e-31,4.4442247339844846e-05,8.1867243936890235e-22,2.207062534905048e-06,0.0,0.005,1.5844306493039858e-19,0.0003777645091979761,3.774507639999284e-29,0.008,3.7211025455379684e-20,0.00041945452339764314,4.3616586027816645e-26,0.0005379947824932946,9.228552891021656e-07,0.00010827286068337682
r02133,1182215255,BNS,GW170729,111000,127.044,36.254,217.679,6.749,25.069,1.1220278733492426e-18,5.5582702810450974e-05,1.1540397817639886e-15,3.2317551640555307e-06,7.824473319472811e-17,0.01,1.0531816405257889e-10,0.00047759877979933587,2.969320578255952e-16,0.009,1.6644216003073199e-13,0.0004526224368779552,2.327765624667512e-15,0.0008666641277864171,5.785404701207588e-08,0.00015252472228063837
r02134,1172553834,BNS,GW170729,111000,95.0,24.964,157.411,7.629,82.128,3.8448305854189833e-42,5.721724321291083e-05,1.693136638256543e-23,2.313148493233058e-06,8.469357189978999e-111,0.007,4.932868457072001e-15,0.00043982554592258554,1.295078675966569e-85,0.007,2.96664865138233e-21,0.00041902303681821826,6.455252901256522e-94,0.001,3.149367364108121e-16,0.00018041003858649152
r02135,1208464360,BNS,GW170729,111000,168.565,45.827,283.133,8.036,35.557,7.659181478253825e-23,0.0001150185302402,6.3124570823577425e-16,7.625724951952568e-06,1.3852054631091453e-19,0.005,2.6870230964475987e-14,0.0004303295003817892,1.915847472042202e-21,0.007,2.0192831876195663e-14,0.0004280207927785544,1.1421771514819297e-17,0.0003868689001920347,1.1768081194689374e-06,9.8451467961128e-05
r02136,1230179875,BNS,GW170729,111000,94.368,24.189,154.842,7.081,87.487,1.2844661628004136e-45,5.586257673089925e-05,3.263724301027862e-20,2.4558874712422125e-06,2.7049178225245002e-104,0.007,1.2994709988282457e-15,0.00042136695072992686,9.334925982651166e-118,0.006,4.332705363260152e-20,0.00040092609419924776,0.0,0.001,1.067385343000265e-13,0.00016590564409174594
r02137,1230357543,BNS,GW170729,111000,94.708,23.755,154.096,4.42,20.846,4.6178496344735e-17,4.952412044559456e-05,7.114692289074175e-14,2.677054193140689e-06,3.187050770690991e-17,0.008,2.593100256903272e-10,0.0004593539023073497,7.76135135067509e-14,0.006,6.107573632011053e-11,0.0003900960730173561,6.186876862765718e-14,0.002,2.5172381765073466e-11,0.00023349164566193497
r02138,1200418954,BNS,GW170729,111000,132.118,36.371,223.045,8.322,70.942,6.064301115136503e-38,3.876318568243387e-05,7.993397887259893e-22,2.093378440342804e-06,2.7903818555570455e-108,0.008,1.143423939295959e-19,0.00042718133713688845,2.4054148672452514e-37,0.006,3.1257061284864025e-20,0.000362112067904648,7.562933829944522e-35,0.0005256327000954752,8.632088757305881e-07,0.00010991808992907199
r02139,1190192072,BNS,GW170729,111000,148.415,39.496,247.154,6.0,39.77,3.4474220254976354e-25,4.81005650971324e-05,4.488187533902076e-15,2.078780876002504e-06,4.449940140397754e-22,0.007,1.791509751953931e-11,0.0004174444857280281,1.1277711792259605e-24,0.007,2.991557589082676e-13,0.0004101518116720133,2.144816453535486e-21,0.0009775317177776813,8.982163291281904e-11,0.00016913201506215278
